"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6780","verify products exist on PLP","ui-webkit","2026-02-11","passed","2026-02-11","Inventory Functionality","inventory.spec.ts","",""
"","1242","verify price of product is consistent on PLP and Cart","ui-webkit","2026-02-11","passed","2026-02-11","Inventory Functionality","inventory.spec.ts","",""
"","532","find pets by status","api","2026-02-11","passed","2026-02-11","Petstore API GET tests","api/pet.spec.ts","",""
"","870","verify price of product is consistent on PLP and Cart","ui-firefox","2026-02-11","passed","2026-02-11","Inventory Functionality","inventory.spec.ts","",""
"","1682","verify products exist on PLP","ui-firefox","2026-02-11","passed","2026-02-11","Inventory Functionality","inventory.spec.ts","",""
"","994","user is unable to login with invalid username","ui-webkit","2026-02-11","passed","2026-02-11","Login Functionality","login.spec.ts","",""
"","606","user is able to login with valid credentials","ui-chromium","2026-02-11","passed","2026-02-11","Login Functionality","login.spec.ts","",""
"","149","get a single pet by ID (dynamic)","api","2026-02-11","passed","2026-02-11","Petstore API GET tests","api/pet.spec.ts","",""
"","584","verify price of product is consistent on PLP and Cart","ui-chromium","2026-02-11","passed","2026-02-11","Inventory Functionality","inventory.spec.ts","",""
"","511","user is unable to login with invalid username","ui-chromium","2026-02-11","passed","2026-02-11","Login Functionality","login.spec.ts","",""
"","612","verify products exist on PLP","ui-chromium","2026-02-11","passed","2026-02-11","Inventory Functionality","inventory.spec.ts","",""
"","832","user is able to login with valid credentials","ui-firefox","2026-02-11","passed","2026-02-11","Login Functionality","login.spec.ts","",""
"","1032","user is unable to login with invalid password","ui-webkit","2026-02-11","passed","2026-02-11","Login Functionality","login.spec.ts","",""
"","807","user is unable to login with invalid password","ui-firefox","2026-02-11","passed","2026-02-11","Login Functionality","login.spec.ts","",""
"","646","verify user is able to add products to cart","ui-chromium","2026-02-11","passed","2026-02-11","Inventory Functionality","inventory.spec.ts","",""
"","498","user is unable to login with invalid password","ui-chromium","2026-02-11","passed","2026-02-11","Login Functionality","login.spec.ts","",""
"","886","verify user is able to add products to cart","ui-firefox","2026-02-11","passed","2026-02-11","Inventory Functionality","inventory.spec.ts","",""
"","930","user is unable to login with invalid username","ui-firefox","2026-02-11","passed","2026-02-11","Login Functionality","login.spec.ts","",""
"","1594","verify user is able to add products to cart","ui-webkit","2026-02-11","passed","2026-02-11","Inventory Functionality","inventory.spec.ts","",""
"","1292","user is able to login with valid credentials","ui-webkit","2026-02-11","passed","2026-02-11","Login Functionality","login.spec.ts","",""
